EXAMPLE2026
IDUSUARI;NIA;NIP;COGNOM1;COGNOM2;NOM
u900001;900001;800001;Example;Smith;Alice
u900002;900002;800002;Sample;Jones;Bob
u900003;900003;800003;Test;Brown;Carol
u900004;900004;800004;Demo;Wilson;David
u900005;900005;800005;Placeholder;Davis;Eve
u900006;900006;800006;Mock;Miller;Frank
u900007;900007;800007;Synthetic;Garcia;Grace
u900008;900008;800008;Dummy;Martinez;Heidi
u900009;900009;800009;Fixture;Lopez;Ivan
u900010;900010;800010;Template;Anderson;Judy
u900011;900011;800011;Fictional;Thomas;Karl
u900012;900012;800012;Invented;Taylor;Laura
